J4_KK5,J1_KK2,MKK,MKK_P,MKK_TOT
22.84,10.0,249.92603189434692,29.85357016619667,300.0
23.23,10.0,250.31011862019827,29.464799653873097,300.0
23.62,10.0,250.68252147061392,29.08774206581571,300.0
24.01,10.0,251.04376990284769,28.72186740699772,300.0
24.400000000000002,10.0,251.3943618797316,28.36667719618631,300.0
24.79,10.0,251.734766162861,28.02170216718518,300.0
25.18,10.0,252.06542441751017,27.6865001660096,300.0
25.57,10.0,252.38675313549356,27.360654226411363,300.0
25.96,10.0,252.6991453972274,27.04377080737405,300.0
26.35,10.0,253.00297248966078,26.73547817488069,300.0
26.740000000000002,10.0,253.29858539149123,26.43542491538314,300.0
27.130000000000003,10.0,253.5863161396034,26.14327856961135,300.0
27.52,10.0,253.86647908737856,25.858724373546604,300.0
27.91,10.0,254.13937206239098,25.58146409928378,300.0
28.3,10.0,254.40527743847062,25.311214984628638,300.0
28.69,10.0,254.66446312136415,25.047708744893388,300.0
29.080000000000002,10.0,254.9171834632776,24.790690659173176,300.0
29.470000000000002,10.0,255.16368010778797,24.53991872499565,300.0
29.86,10.0,255.4041827719332,24.295162874738736,300.0
30.25,10.0,255.6389099735332,24.056204249471683,300.0
30.64,10.0,255.86806970437928,23.82283452521569,300.0
31.03,10.0,256.0918600546548,23.594855286646812,300.0
31.42,10.0,256.31046979650426,23.37207744524405,300.0
31.810000000000002,10.0,256.5240789243347,23.154320697671636,299.99999999999994
32.2,10.0,256.732859159314,22.941413021321235,300.0
32.59,10.0,256.93697441852225,22.73319020450141,300.0
32.980000000000004,10.0,257.1365812532932,22.52949540802721,300.0
33.370000000000005,10.0,257.3318292596536,22.33017875552428,300.0
33.76,10.0,257.52286145819613,22.135096951528677,300.0
34.15,10.0,257.70981465288617,21.944112923804372,300.0
34.54,10.0,257.8928197647957,21.75709548893556,300.0
34.93,10.0,258.07200214542826,21.57391903917191,300.0
35.32,10.0,258.24748186942196,21.394463249027975,300.0
35.71,10.0,258.4193740095945,21.218612800170565,300.0
36.1,10.0,258.5877888951363,21.046257123565475,300.0
36.49,10.0,258.75283235345916,20.87729015683703,300.0
36.88,10.0,258.9146059377061,20.711610116909846,300.0
37.27,10.0,259.0732071406327,20.54911928593741,300.0
37.660000000000004,10.0,259.22872959559334,20.389723810080532,300.0
38.050000000000004,10.0,259.3812632662584,20.233333509957916,300.0
38.44,10.0,259.5308946243496,20.079861702379144,300.0
38.83,10.0,259.677706817767,19.929225032219776,300.0
39.22,10.0,259.8217798291854,19.781343313828977,300.0
39.61,10.0,259.96319062537214,19.6361393815662,300.0
40.0,10.0,260.10201329823207,19.493538948582238,300.0
,,,,
1.0,50.0,109.56097542791723,167.69497417103602,300.0
1.3900000000000001,50.0,117.36309889417117,159.8213372167709,300.0
1.78,50.0,125.06855934822488,152.0460258920816,300.0
2.17,50.0,132.55301636823677,144.49333034726578,300.0
2.56,50.0,139.71830631975396,137.26129348668596,300.0
2.95,50.0,146.4968448583551,130.41733288578428,300.0
3.34,50.0,152.85029394332483,123.99959762300286,300.0
3.73,50.0,158.76468813607823,118.02186082057833,300.0
4.12,50.0,164.24426988907726,112.47969684978834,300.0
4.51,50.0,169.30559332194977,107.35638441119772,300.0
4.9,50.0,173.97266351117477,102.62776998013761,300.0
5.29,50.0,178.27330493324055,98.26589949410739,300.0
5.68,50.0,182.23664498943828,94.24153353053988,300.0
6.07,50.0,185.8914837918281,90.52577558314009,300.0
6.46,50.0,189.26531309327794,87.09105102592785,300.0
6.8500000000000005,50.0,192.383783908887,83.91163747139447,300.0
7.24,50.0,195.2704700101673,80.96389945893931,300.0
7.63,50.0,197.9468179334467,78.22633687157803,300.0
8.02,50.0,200.43220859259193,75.67952198882712,300.0
8.41,50.0,202.74408089755647,73.30597475300911,300.0
8.8,50.0,204.89808551926325,71.09000808002297,300.0
9.19,50.0,206.90824897659184,69.01756300954217,300.0
9.58,50.0,208.7871361879595,67.07604552517968,300.0
9.97,50.0,210.5460047925155,65.25417171596219,300.0
10.36,50.0,212.1949478223412,63.541824677726495,300.0
10.75,50.0,213.74302333665415,61.92992452685265,300.0
11.14,50.0,215.19837084683277,60.41031168386727,300.0
11.530000000000001,50.0,216.56831505821154,58.9756428898852,300.0
11.92,50.0,217.8594578224173,57.619299053092945,300.0
12.31,50.0,219.07775935804514,56.33530386018315,300.0
12.700000000000001,50.0,220.2286098384552,55.11825204803649,300.0
13.09,50.0,221.31689241524964,53.96324626230589,300.0
13.48,50.0,222.34703867715112,52.865841499277664,300.0
13.870000000000001,50.0,223.32307745695,51.82199621517838,300.0
14.26,50.0,224.24867780618638,50.82802928066703,300.0
14.65,50.0,225.12718686551503,49.88058205045463,300.0
15.040000000000001,50.0,225.9616632722055,48.976584904845396,300.0
15.43,50.0,226.754906667048,48.11322769950745,300.0
15.82,50.0,227.5094851349938,47.287932308453286,300.0
16.21,50.0,228.22775278872132,46.49833492666984,300.0
16.6,50.0,228.9118788313818,45.74225710460045,300.0
16.990000000000002,50.0,229.56385987859932,45.017693320308304,300.0
17.38,50.0,230.18553770502155,44.32279323461727,300.0
17.77,50.0,230.7786136893474,43.65584722905569,300.0
18.16,50.0,231.3446617213782,43.01527348412561,300.0
18.55,50.0,231.88513974314685,42.3996064276125,300.0
18.94,50.0,232.401400081085,41.80748639160906,300.0
19.330000000000002,50.0,232.89469871930444,41.23765032910219,300.0
19.72,50.0,233.3662036383404,40.68892347262651,300.0
20.11,50.0,233.81700230637287,40.160211830834115,300.0
20.5,50.0,234.24810844318657,39.65049542278757,300.0
20.89,50.0,234.66046812391824,39.158822171514124,300.0
21.28,50.0,235.05496529127686,38.684302384202034,300.0
21.67,50.0,235.432426754652,38.22610375325431,300.00000000000006
22.060000000000002,50.0,235.79362671767882,37.78344682601437,300.0
22.45,50.0,236.13929088925002,37.355600891383354,300.0
22.84,50.0,236.47010022282313,36.941880238592326,300.0
23.23,50.0,236.786694318821,36.541640754341245,300.0
23.62,50.0,237.0896745288449,36.15427681801983,300.0
24.01,50.0,237.37960678432532,35.77921846943546,300.0
24.400000000000002,50.0,237.65702418707755,35.41592882245198,300.0
24.79,50.0,237.92242937517318,35.063901694333694,300.0
25.18,50.0,238.17629669176472,34.72265943850679,300.0
25.57,50.0,238.41907417441266,34.39175095377932,300.0
25.96,50.0,238.65118538157992,34.070749859807194,300.0
26.35,50.0,238.873031068431,33.75925281647402,300.0
26.740000000000002,50.0,239.08499073413194,33.45687798080799,300.0
27.130000000000003,50.0,239.28742404092037,33.163263583295915,300.0
27.52,50.0,239.48067212858803,32.878066616619094,300.0
27.91,50.0,239.6650588212293,32.60096162503409,300.0
28.3,50.0,239.84089174552733,32.33163958573448,300.0
28.69,50.0,240.00846336634436,32.06980687407214,300.0
29.080000000000002,50.0,240.16805193985977,31.815184307148282,300.0
29.470000000000002,50.0,240.31992240107022,31.567506256113433,300.0
29.86,50.0,240.46432718437381,31.326519823662604,300.0
30.25,50.0,240.60150698519087,31.0919840809456,300.0
30.64,50.0,240.73169146688517,30.86366935870073,300.0
31.03,50.0,240.85509991868162,30.641356587363905,300.0
31.42,50.0,240.9719418662902,30.424836684521377,300.0
31.810000000000002,50.0,241.08241763966942,30.213909983910902,300.0
32.2,50.0,241.18671890518297,30.008385701917295,300.0
32.59,50.0,241.28502915659533,29.808081442782413,300.0
32.980000000000004,50.0,241.37752417624273,29.612822734918193,300.0
